Location;Industry;Subcategory_ID;Hierarchy_Level;Data_Type;Global_Brand_Owner;Unit;Year_text;Year_date;Year_minus_2016;Volume
8;Alcoholic Drinks;13;1;Total Volume;Anadolu Group;million litres;2020;Thu, 31 December 2020;8;1489,012658
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anadolu Group;million litres;2021;Friday, 31 Dec 2021;9;1481,195742
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Suntory Holdings Ltd;million litres;2017;31-12-17;5;1672,663711
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Suntory Holdings Ltd;million litres;2018;Monday, 31 Dec 2018;6;1679,903232
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Suntory Holdings Ltd;million litres;2019;Tue, 31 December 2019;7;1571,970234
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Suntory Holdings Ltd;million litres;2020;31-12-20;8;1465,432566
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Suntory Holdings Ltd;million litres;2021;31 12 2021;9;1435,9174
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oetker-Gruppe;million litres;2017;31-Dec-17;5;1239,484205
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oetker-Gruppe;million litres;2018;Mon, 31 December 2018;6;1255,419627
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oetker-Gruppe;million litres;2019;Tuesday, 31 Dec 2019;7;1259,301769
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oetker-Gruppe;million litres;2020;31-12-20;8;1266,592758
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oetker-Gruppe;million litres;2021;Friday, 31 Dec 2021;9;1282,895178
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;UB Group;million litres;2017;31-12-17;5;1194,108747
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;UB Group;million litres;2018;Monday, 31 Dec 2018;6;1271,330155
;;;;;;;;;;
