,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,Volume_liters
152,World,Alcoholic Drinks,Beer,1.0,Total Volume,UB Group,million litres,2017.0,31-12-2017,5.0,1194.108747,1194108747.0
153,World,Alcoholic Drinks,Beer,1.0,Total Volume,UB Group,million litres,2018.0,31-12-2018,6.0,1271.330155,1271330155.0
154,World,Alcoholic Drinks,Beer,1.0,Total Volume,UB Group,million litres,2019.0,31-12-2019,7.0,1306.249574,1306249574.0
155,World,Alcoholic Drinks,Beer,1.0,Total Volume,UB Group,million litres,2020.0,31-12-2020,8.0,1209.021052,1209021052.0
156,World,Alcoholic Drinks,Beer,1.0,Total Volume,UB Group,million litres,2021.0,31-12-2021,9.0,1234.925948,1234925948.0
157,World,Alcoholic Drinks,Beer,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2017.0,31-12-2017,5.0,1466.889895,1466889895.0
158,World,Alcoholic Drinks,Beer,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2018.0,31-12-2018,6.0,1246.850049,1246850049.0
159,World,Alcoholic Drinks,Beer,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2019.0,31-12-2019,7.0,1309.192531,1309192531.0
160,World,Alcoholic Drinks,Beer,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2020.0,31-12-2020,8.0,1267.298475,1267298475.0
161,World,Alcoholic Drinks,Beer,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2021.0,31-12-2021,9.0,1193.79515,1193795150.0
162,World,Alcoholic Drinks,Beer,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2017.0,31-12-2017,5.0,1114.000003,1114000003.0
163,World,Alcoholic Drinks,Beer,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2018.0,31-12-2018,6.0,1169.899968,1169899968.0
164,World,Alcoholic Drinks,Beer,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2019.0,31-12-2019,7.0,1159.8001,1159800100.0
165,World,Alcoholic Drinks,Beer,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2020.0,31-12-2020,8.0,1162.000001,1162000001.0
166,World,Alcoholic Drinks,Beer,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2021.0,31-12-2021,9.0,1150.379981,1150379981.0
